observed Discharge Funudsbach from TIWAG gauge and H-Loggers [m3/s]
YYYY	MM	DD	HH	1595	1935	2012	2021
YYYY	MM	DD	HH	221847.733	219661.222	218687.432	218296.567
YYYY	MM	DD	HH	42720.77	42183.67	42391.33	42459.4
YYYY	MM	DD	HH	Fundus 1989	Fundus A	Fundus B	Fundus C
2013	1	11	1	0.117	-9999	-9999	-9999
2013	1	11	2	0.119	-9999	-9999	-9999
2013	1	11	3	0.12	-9999	-9999	-9999
2013	1	11	4	0.122	-9999	-9999	-9999
2013	1	11	5	0.122	-9999	-9999	-9999
2013	1	11	6	0.122	-9999	-9999	-9999
2013	1	11	7	0.122	-9999	-9999	-9999
2013	1	11	8	0.122	-9999	-9999	-9999
2013	1	11	9	0.122	-9999	-9999	-9999
2013	1	11	10	0.122	-9999	-9999	-9999
2013	1	11	11	0.122	-9999	-9999	-9999
2013	1	11	12	0.121	-9999	-9999	-9999
2013	1	11	13	0.12	-9999	-9999	-9999
2013	1	11	14	0.12	-9999	-9999	-9999
2013	1	11	15	0.119	-9999	-9999	-9999
2013	1	11	16	0.12	-9999	-9999	-9999
2013	1	11	17	0.119	-9999	-9999	-9999
2013	1	11	18	0.119	-9999	-9999	-9999
2013	1	11	19	0.119	-9999	-9999	-9999
2013	1	11	20	0.119	-9999	-9999	-9999
2013	1	11	21	0.119	-9999	-9999	-9999
2013	1	11	22	0.119	-9999	-9999	-9999
2013	1	11	23	0.119	-9999	-9999	-9999
2013	1	12	0	0.119	-9999	-9999	-9999
2013	1	12	1	0.119	-9999	-9999	-9999
2013	1	12	2	0.119	-9999	-9999	-9999
2013	1	12	3	0.119	-9999	-9999	-9999
2013	1	12	4	0.119	-9999	-9999	-9999
2013	1	12	5	0.118	-9999	-9999	-9999
2013	1	12	6	0.119	-9999	-9999	-9999
2013	1	12	7	0.119	-9999	-9999	-9999
2013	1	12	8	0.119	-9999	-9999	-9999
2013	1	12	9	0.119	-9999	-9999	-9999
2013	1	12	10	0.118	-9999	-9999	-9999
2013	1	12	11	0.118	-9999	-9999	-9999
2013	1	12	12	0.118	-9999	-9999	-9999
2013	1	12	13	0.118	-9999	-9999	-9999
2013	1	12	14	0.118	-9999	-9999	-9999
2013	1	12	15	0.118	-9999	-9999	-9999
2013	1	12	16	0.117	-9999	-9999	-9999
2013	1	12	17	0.116	-9999	-9999	-9999
2013	1	12	18	0.11	-9999	-9999	-9999
2013	1	12	19	0.104	-9999	-9999	-9999
2013	1	12	20	0.099	-9999	-9999	-9999
2013	1	12	21	0.096	-9999	-9999	-9999
2013	1	12	22	0.092	-9999	-9999	-9999
2013	1	12	23	0.092	-9999	-9999	-9999
2013	1	13	0	0.096	-9999	-9999	-9999
2013	1	13	1	0.098	-9999	-9999	-9999
2013	1	13	2	0.1	-9999	-9999	-9999
2013	1	13	3	0.095	-9999	-9999	-9999
2013	1	13	4	0.094	-9999	-9999	-9999
2013	1	13	5	0.095	-9999	-9999	-9999
2013	1	13	6	0.103	-9999	-9999	-9999
2013	1	13	7	0.107	-9999	-9999	-9999
2013	1	13	8	0.111	-9999	-9999	-9999
2013	1	13	9	0.112	-9999	-9999	-9999
2013	1	13	10	0.111	-9999	-9999	-9999
2013	1	13	11	0.11	-9999	-9999	-9999
2013	1	13	12	0.113	-9999	-9999	-9999
2013	1	13	13	0.127	-9999	-9999	-9999
2013	1	13	14	0.142	-9999	-9999	-9999
2013	1	13	15	0.147	-9999	-9999	-9999
2013	1	13	16	0.141	-9999	-9999	-9999
2013	1	13	17	0.126	-9999	-9999	-9999
2013	1	13	18	0.119	-9999	-9999	-9999
2013	1	13	19	0.115	-9999	-9999	-9999
2013	1	13	20	0.109	-9999	-9999	-9999
2013	1	13	21	0.104	-9999	-9999	-9999
2013	1	13	22	0.101	-9999	-9999	-9999
2013	1	13	23	0.1	-9999	-9999	-9999
2013	1	14	0	0.1	-9999	-9999	-9999
2013	1	14	1	0.101	-9999	-9999	-9999
2013	1	14	2	0.105	-9999	-9999	-9999
2013	1	14	3	0.111	-9999	-9999	-9999
2013	1	14	4	0.114	-9999	-9999	-9999
2013	1	14	5	0.118	-9999	-9999	-9999
2013	1	14	6	0.119	-9999	-9999	-9999
2013	1	14	7	0.122	-9999	-9999	-9999
2013	1	14	8	0.123	-9999	-9999	-9999
2013	1	14	9	0.125	-9999	-9999	-9999
2013	1	14	10	0.126	-9999	-9999	-9999
2013	1	14	11	0.127	-9999	-9999	-9999
2013	1	14	12	0.126	-9999	-9999	-9999
2013	1	14	13	0.132	-9999	-9999	-9999
2013	1	14	14	0.139	-9999	-9999	-9999
2013	1	14	15	0.134	-9999	-9999	-9999
2013	1	14	16	0.131	-9999	-9999	-9999
2013	1	14	17	0.129	-9999	-9999	-9999
2013	1	14	18	0.125	-9999	-9999	-9999
2013	1	14	19	0.123	-9999	-9999	-9999
2013	1	14	20	0.124	-9999	-9999	-9999
2013	1	14	21	0.122	-9999	-9999	-9999
2013	1	14	22	0.119	-9999	-9999	-9999
2013	1	14	23	0.112	-9999	-9999	-9999
2013	1	15	0	0.111	-9999	-9999	-9999
2013	1	15	1	0.111	-9999	-9999	-9999
2013	1	15	2	0.111	-9999	-9999	-9999
2013	1	15	3	0.107	-9999	-9999	-9999
2013	1	15	4	0.101	-9999	-9999	-9999
2013	1	15	5	0.094	-9999	-9999	-9999
2013	1	15	6	0.091	-9999	-9999	-9999
2013	1	15	7	0.091	-9999	-9999	-9999
2013	1	15	8	0.089	-9999	-9999	-9999
2013	1	15	9	0.085	-9999	-9999	-9999
2013	1	15	10	0.089	-9999	-9999	-9999
2013	1	15	11	0.094	-9999	-9999	-9999
2013	1	15	12	0.1	-9999	-9999	-9999
2013	1	15	13	0.106	-9999	-9999	-9999
2013	1	15	14	0.12	-9999	-9999	-9999
2013	1	15	15	0.139	-9999	-9999	-9999
2013	1	15	16	0.145	-9999	-9999	-9999
2013	1	15	17	0.126	-9999	-9999	-9999
2013	1	15	18	0.113	-9999	-9999	-9999
2013	1	15	19	0.108	-9999	-9999	-9999
2013	1	15	20	0.108	-9999	-9999	-9999
2013	1	15	21	0.108	-9999	-9999	-9999
2013	1	15	22	0.108	-9999	-9999	-9999
2013	1	15	23	0.113	-9999	-9999	-9999
2013	1	16	0	0.118	-9999	-9999	-9999
2013	1	16	1	0.119	-9999	-9999	-9999
2013	1	16	2	0.121	-9999	-9999	-9999
2013	1	16	3	0.122	-9999	-9999	-9999
2013	1	16	4	0.124	-9999	-9999	-9999
2013	1	16	5	0.123	-9999	-9999	-9999
2013	1	16	6	0.123	-9999	-9999	-9999
2013	1	16	7	0.122	-9999	-9999	-9999
2013	1	16	8	0.119	-9999	-9999	-9999
2013	1	16	9	0.116	-9999	-9999	-9999
2013	1	16	10	0.117	-9999	-9999	-9999
2013	1	16	11	0.118	-9999	-9999	-9999
2013	1	16	12	0.121	-9999	-9999	-9999
2013	1	16	13	0.126	-9999	-9999	-9999
2013	1	16	14	0.125	-9999	-9999	-9999
2013	1	16	15	0.124	-9999	-9999	-9999
2013	1	16	16	0.126	-9999	-9999	-9999
2013	1	16	17	0.123	-9999	-9999	-9999
2013	1	16	18	0.118	-9999	-9999	-9999
2013	1	16	19	0.115	-9999	-9999	-9999
2013	1	16	20	0.115	-9999	-9999	-9999
2013	1	16	21	0.114	-9999	-9999	-9999
