mean daily discharge [m/s]
YYYY	MM	DD	HH	1598.2
YYYY	MM	DD	HH	221847.733
YYYY	MM	DD	HH	42720.77
YYYY	MM	DD	HH	Fundus_1989
2013	11	10	0	-9999
2013	11	11	0	-9999
2013	11	12	0	-9999
2013	11	13	0	-9999
2013	11	14	0	-9999
2013	11	15	0	-9999
2013	11	16	0	-9999
2013	11	17	0	-9999
2013	11	18	0	-9999
2013	11	19	0	-9999
2013	11	20	0	-9999
2013	11	21	0	-9999
2013	11	22	0	-9999
2013	11	23	0	-9999
2013	11	24	0	-9999
2013	11	25	0	-9999
2013	11	26	0	-9999
2013	11	27	0	-9999
2013	11	28	0	-9999
2013	11	29	0	-9999
2013	11	30	0	-9999
2013	12	1	0	-9999
2013	12	2	0	-9999
2013	12	3	0	-9999
2013	12	4	0	-9999
2013	12	5	0	-9999
2013	12	6	0	-9999
2013	12	7	0	-9999
2013	12	8	0	-9999
2013	12	9	0	-9999
2013	12	10	0	-9999
2013	12	11	0	-9999
2013	12	12	0	-9999
2013	12	13	0	-9999
2013	12	14	0	-9999
2013	12	15	0	-9999
2013	12	16	0	-9999
2013	12	17	0	-9999
2013	12	18	0	-9999
2013	12	19	0	-9999
2013	12	20	0	-9999
2013	12	21	0	-9999
2013	12	22	0	-9999
2013	12	23	0	-9999
2013	12	24	0	-9999
2013	12	25	0	-9999
2013	12	26	0	-9999
2013	12	27	0	-9999
2013	12	28	0	-9999
2013	12	29	0	-9999
2013	12	30	0	-9999
2013	12	31	0	-9999
2014	1	1	0	0.069
2014	1	2	0	0.067
2014	1	3	0	0.065
2014	1	4	0	0.065
2014	1	5	0	0.065
2014	1	6	0	0.061
2014	1	7	0	0.06
2014	1	8	0	0.059
2014	1	9	0	0.059
2014	1	10	0	0.059
2014	1	11	0	0.058
2014	1	12	0	0.055
2014	1	13	0	0.057
2014	1	14	0	0.058
2014	1	15	0	0.057
2014	1	16	0	0.058
2014	1	17	0	0.057
2014	1	18	0	0.056
2014	1	19	0	0.056
2014	1	20	0	0.056
2014	1	21	0	0.055
2014	1	22	0	0.05
2014	1	23	0	0.05
2014	1	24	0	0.05
2014	1	25	0	0.048
2014	1	26	0	0.051
2014	1	27	0	0.048
2014	1	28	0	0.048
2014	1	29	0	0.047
2014	1	30	0	0.047
2014	1	31	0	0.046
2014	2	1	0	0.046
2014	2	2	0	0.045
2014	2	3	0	0.043
2014	2	4	0	0.041
2014	2	5	0	0.04
2014	2	6	0	0.038
2014	2	7	0	0.039
2014	2	8	0	0.039
2014	2	9	0	0.039
2014	2	10	0	0.038
2014	2	11	0	0.038
2014	2	12	0	0.036
2014	2	13	0	0.037
2014	2	14	0	0.036
2014	2	15	0	0.035
2014	2	16	0	0.035
2014	2	17	0	0.034
2014	2	18	0	0.033
2014	2	19	0	0.033
2014	2	20	0	0.033
2014	2	21	0	0.033
2014	2	22	0	0.031
2014	2	23	0	0.03
2014	2	24	0	0.029
2014	2	25	0	0.029
2014	2	26	0	0.029
2014	2	27	0	0.028
2014	2	28	0	0.028
2014	3	1	0	0.027
2014	3	2	0	0.028
2014	3	3	0	0.026
2014	3	4	0	0.025
2014	3	5	0	0.025
2014	3	6	0	0.024
2014	3	7	0	0.024
2014	3	8	0	0.024
2014	3	9	0	0.025
2014	3	10	0	0.025
2014	3	11	0	0.025
2014	3	12	0	0.025
2014	3	13	0	0.026
2014	3	14	0	0.027
2014	3	15	0	0.029
2014	3	16	0	0.03
2014	3	17	0	0.031
2014	3	18	0	0.033
2014	3	19	0	0.036
2014	3	20	0	0.037
2014	3	21	0	0.042
2014	3	22	0	0.046
2014	3	23	0	0.051
2014	3	24	0	0.046
2014	3	25	0	0.043
2014	3	26	0	0.04
2014	3	27	0	0.039
2014	3	28	0	0.037
2014	3	29	0	0.037
2014	3	30	0	0.038
2014	3	31	0	0.041
2014	4	1	0	0.047
2014	4	2	0	0.058
2014	4	3	0	0.066
2014	4	4	0	0.069
2014	4	5	0	0.075
2014	4	6	0	0.08
2014	4	7	0	0.096
2014	4	8	0	0.122
2014	4	9	0	0.132
2014	4	10	0	0.108
2014	4	11	0	0.105
2014	4	12	0	0.119
2014	4	13	0	0.132
2014	4	14	0	0.137
2014	4	15	0	0.13
2014	4	16	0	0.108
2014	4	17	0	0.097
2014	4	18	0	0.092
2014	4	19	0	0.088
2014	4	20	0	0.088
2014	4	21	0	0.105
2014	4	22	0	0.124
2014	4	23	0	0.15
2014	4	24	0	0.195
2014	4	25	0	0.233
2014	4	26	0	0.341
2014	4	27	0	0.387
2014	4	28	0	0.34
2014	4	29	0	0.326
2014	4	30	0	0.36
2014	5	1	0	0.408
2014	5	2	0	0.425
2014	5	3	0	0.419
2014	5	4	0	0.37
2014	5	5	0	0.347
2014	5	6	0	0.341
2014	5	7	0	0.415
2014	5	8	0	0.46
2014	5	9	0	0.468
2014	5	10	0	0.52
2014	5	11	0	0.604
2014	5	12	0	0.567
2014	5	13	0	0.506
2014	5	14	0	0.442
2014	5	15	0	0.393
2014	5	16	0	0.354
2014	5	17	0	0.323
2014	5	18	0	0.31
2014	5	19	0	0.329
2014	5	20	0	0.371
2014	5	21	0	0.488
2014	5	22	0	0.666
2014	5	23	0	0.945
2014	5	24	0	0.948
2014	5	25	0	0.904
2014	5	26	0	0.903
2014	5	27	0	0.841
2014	5	28	0	0.776
2014	5	29	0	0.695
2014	5	30	0	0.62
2014	5	31	0	0.563
2014	6	1	0	0.535
2014	6	2	0	0.514
2014	6	3	0	0.489
2014	6	4	0	0.474
2014	6	5	0	0.55
2014	6	6	0	0.633
2014	6	7	0	0.832
2014	6	8	0	1.055
2014	6	9	0	1.292
2014	6	10	0	1.492
2014	6	11	0	1.626
2014	6	12	0	1.634
2014	6	13	0	1.618
2014	6	14	0	1.576
2014	6	15	0	1.314
2014	6	16	0	1.106
2014	6	17	0	0.948
2014	6	18	0	0.825
2014	6	19	0	0.739
2014	6	20	0	0.698
2014	6	21	0	0.667
2014	6	22	0	0.738
2014	6	23	0	0.963
2014	6	24	0	1.227
2014	6	25	0	1.122
2014	6	26	0	0.996
2014	6	27	0	0.972
2014	6	28	0	0.918
2014	6	29	0	0.995
2014	6	30	0	1.017
2014	7	1	0	0.87
2014	7	2	0	0.85
2014	7	3	0	0.891
2014	7	4	0	0.891
2014	7	5	0	0.969
2014	7	6	0	0.978
2014	7	7	0	1.006
2014	7	8	0	1.031
2014	7	9	0	1.01
2014	7	10	0	0.912
2014	7	11	0	1.086
2014	7	12	0	1.166
2014	7	13	0	1.169
2014	7	14	0	1.168
2014	7	15	0	1.202
2014	7	16	0	1.159
2014	7	17	0	1.132
2014	7	18	0	1.097
2014	7	19	0	1.026
2014	7	20	0	0.986
2014	7	21	0	1.066
2014	7	22	0	1.023
2014	7	23	0	0.981
2014	7	24	0	0.904
2014	7	25	0	0.854
2014	7	26	0	0.836
2014	7	27	0	0.864
2014	7	28	0	0.87
2014	7	29	0	0.885
2014	7	30	0	0.946
2014	7	31	0	1.383
2014	8	1	0	1.234
2014	8	2	0	1.118
2014	8	3	0	1.003
2014	8	4	0	0.907
2014	8	5	0	0.974
2014	8	6	0	0.876
2014	8	7	0	0.846
2014	8	8	0	0.815
2014	8	9	0	0.784
2014	8	10	0	0.742
2014	8	11	0	0.825
2014	8	12	0	0.852
2014	8	13	0	1.24
2014	8	14	0	1.349
2014	8	15	0	1.176
2014	8	16	0	1.064
2014	8	17	0	0.961
2014	8	18	0	0.878
2014	8	19	0	0.819
2014	8	20	0	0.782
2014	8	21	0	0.745
2014	8	22	0	0.691
2014	8	23	0	0.642
2014	8	24	0	0.604
2014	8	25	0	0.566
2014	8	26	0	0.565
2014	8	27	0	0.572
2014	8	28	0	0.543
2014	8	29	0	0.525
2014	8	30	0	0.58
2014	8	31	0	0.623
2014	9	1	0	0.717
2014	9	2	0	0.69
2014	9	3	0	0.665
2014	9	4	0	0.638
2014	9	5	0	0.617
2014	9	6	0	0.602
2014	9	7	0	0.588
2014	9	8	0	0.563
2014	9	9	0	0.555
2014	9	10	0	0.555
2014	9	11	0	0.533
2014	9	12	0	0.507
2014	9	13	0	0.485
2014	9	14	0	0.475
2014	9	15	0	0.463
2014	9	16	0	0.449
2014	9	17	0	0.435
2014	9	18	0	0.422
2014	9	19	0	0.414
2014	9	20	0	0.401
2014	9	21	0	0.398
2014	9	22	0	0.393
2014	9	23	0	0.368
2014	9	24	0	0.353
2014	9	25	0	0.344
2014	9	26	0	0.326
2014	9	27	0	0.311
2014	9	28	0	0.302
2014	9	29	0	0.293
2014	9	30	0	0.287
2014	10	1	0	0.326
2014	10	2	0	0.299
2014	10	3	0	0.288
2014	10	4	0	0.279
2014	10	5	0	0.277
2014	10	6	0	0.27
2014	10	7	0	0.263
2014	10	8	0	0.256
2014	10	9	0	0.251
2014	10	10	0	0.246
2014	10	11	0	0.246
2014	10	12	0	0.241
2014	10	13	0	0.238
2014	10	14	0	0.237
2014	10	15	0	0.231
2014	10	16	0	0.227
2014	10	17	0	0.229
2014	10	18	0	0.22
2014	10	19	0	0.211
2014	10	20	0	0.205
2014	10	21	0	0.241
2014	10	22	0	0.235
2014	10	23	0	0.226
2014	10	24	0	0.222
2014	10	25	0	0.224
2014	10	26	0	0.231
2014	10	27	0	0.23
2014	10	28	0	0.229
2014	10	29	0	0.226
2014	10	30	0	0.222
2014	10	31	0	0.22
2014	11	1	0	0.222
2014	11	2	0	0.225
2014	11	3	0	0.227
2014	11	4	0	0.232
2014	11	5	0	0.247
2014	11	6	0	0.264
2014	11	7	0	0.25
2014	11	8	0	0.249
2014	11	9	0	0.248
2014	11	10	0	0.244
2014	11	11	0	0.244
2014	11	12	0	0.246
2014	11	13	0	0.243
2014	11	14	0	0.237
2014	11	15	0	0.232
2014	11	16	0	0.235
2014	11	17	0	0.223
2014	11	18	0	0.223
2014	11	19	0	0.211
2014	11	20	0	0.202
2014	11	21	0	0.201
2014	11	22	0	0.198
2014	11	23	0	0.195
2014	11	24	0	0.195
2014	11	25	0	0.194
2014	11	26	0	0.194
2014	11	27	0	0.191
2014	11	28	0	0.186
2014	11	29	0	0.181
2014	11	30	0	0.178
2014	12	1	0	0.176
2014	12	2	0	0.173
2014	12	3	0	0.168
2014	12	4	0	0.166
2014	12	5	0	0.161
2014	12	6	0	0.159
2014	12	7	0	0.157
2014	12	8	0	0.154
2014	12	9	0	0.15
2014	12	10	0	0.145
2014	12	11	0	0.147
2014	12	12	0	0.141
2014	12	13	0	0.14
2014	12	14	0	0.137
2014	12	15	0	0.135
2014	12	16	0	0.134
2014	12	17	0	0.132
2014	12	18	0	0.132
2014	12	19	0	0.131
2014	12	20	0	0.127
2014	12	21	0	0.122
2014	12	22	0	0.122
2014	12	23	0	0.119
2014	12	24	0	0.119
2014	12	25	0	0.118
2014	12	26	0	0.116
2014	12	27	0	0.115
2014	12	28	0	0.117
2014	12	29	0	0.108
2014	12	30	0	0.117
2014	12	31	0	0.111
2015	1	1	0	0.11
2015	1	2	0	0.109
2015	1	3	0	0.115
2015	1	4	0	0.119
2015	1	5	0	0.106
